Question,Answer,ID
What is the name of the Samus look alike that hunts you in Metroid Fusion?,Samus Aran-X (SA-X),110038
Who is the original voice of Mario in the games?,Charles Martinet,110039
Masahiro Sakurai is the well renowned director of the Super Smash Brothers Franchise. What other Nintendo franchises did he also direct?,Kirby Series / Kid Icarus: Uprising,110040
How many analog sticks does the N64 controller have?,"""1""",110041
The Super Nintendo System is called what in Japan?,Super Famicon,110042
What Nintendo Home Console was the first of it's kind to feature dual screen gameplay via a wireless tablet?,Wii U,110043
What Nintendo Console released in Japan in 1990?,Super Nintendo,110044
What year did the Nintendo 3DS release?,"""2011""",110045
What year did the Nintendo Switch release?,"""2017""",110046
What was the name of the mandatory accessory used to play Wii Sports Resort?,Wii MotionPlus,110047
What color is the A button on a GameCube controller?,Green,110048
How many buttons are on a Wii Nunchuk?,2,110049
What Nintendo Handheld was the first Nintendogs released on?,Nintendo DS,110050
How many dogs can you have in your house at a time?,"""3""",110051
What is the name of the second Nintendogs game?,Nintendogs + Cats,110052
What is the day limit in Pikmin 1?,"""30""",110053
What is the creature called that can reproduce Pikmin?,Onion,110054
What planet does Olimar come from?,Hocatate,110055
Who is Olimar's partner in Pikmin 2?,Louie,110056
How many types of Pikmin are there in Pikmin 1?,"""3""",110057
Which of the mainline Pokemon games can you collect 16 gym badges?,Pokemon HeartGold & SoulSilver/Gold/Silver/Crystal,110058
How many Pokemon were there in the original Red and Blue,"""151""",110059
"In Pokemon Red and Blue, the Kanto cities are all named after what?",Colors,110060
"In Pokemon Emerald, who is the champion of the Hoenn region?",Wallace,110061
What were the 2021 remakes of Diamond and Pearl called?,Brilliant Diamond and Shining Pearl,110062
What Pokemon is the mascot of Pokemon Yellow,Pikachu,110063
What type is Charizard?,Fire/Flying,110064
What was the first Rhythem Heaven game to have a multiplayer mode?,Rhythm Heaven Fever,110065
Wubbadubbadub is that true?,Yuh,110066
How many Chorus Kids are there?,3,110067
What console did Super Smash Bros. For Wii U release on,Wii U,110068
What console did Super Smash Bros. Ultimate release on?,Nintendo Switch,110069
"Across the entire Smash franchise, who is most commonly the final boss of the games classic mode?",Master Hand,110070
"This Smash character has only been in 2 smash games, and deals damage to itself when attacking",Pichu,110071
What Smash game was Meta Knight first playable in?,Super Smash Bros Brawl,110072
What was the first Smash game with assist trophies?,Super Smash Bros Brawl,110073
What's the name of the small cat in Splatoon 3?,Lil' Judd,110074
Whats is the Squid Sisters catch phrase?,Stay Fresh!,110075
"As of March 2024, what is the name of the latest Splatoon game?",Splatoon 3,110076
What is the Splatoon 2 DLC called?,Octo Expansion,110077
What two species of characters do you play as in Splatoon 2 and 3?,Inklings/Octolings,110078
Where do you need to paint in order to earn points in Turf War?,The ground,110079
Who is the final boss in Splatoon 1 AND 2,DJ Octavio,110080
Who are the members of Off the Hook?,Marina and Pearl,110081
What is the name of the ship that Fox pilots?,Arwing,110082
Who is Star Fox's father?,James McCloud,110083
What console was the first Star Fox game released on?,SNES,110084
What console was Star Fox Zero released on?,Wii U,110085
The Super Mario Brothers 2 we got here in the United States was based off what game in Japan?,Doki Doki Panic,110086
Where does Super Mario 3D World take place?,Sprixie Kingdom,110087
What game did the mini mushroom powerup debut in?,New Super Mario Bros DS,110088
Who is the Princess of the Mushroom Kingdom?,Princess Peach,110089
Who is Mario's Brother?,Luigi,110090
What year did Super Mario 64 release?,"""1996""",110091
Super Mario Sunshine was originally released for what console?,Gamecube,110092
How many worlds are in the original Super Mario Bros?,"""8""",110093
What Mario Kart game released on Gamecube?,Mario Kart: Double Dash,110094
"In Super Mario Odyssey, who is the mayor of New Donk City?",Pauline,110095
What game was bundled in with Wii Console starting in 2006?,Wii Sports,110096
What is the name of the sequel to Wii Sports,Wii Sports Resort,110097
What was the name of the accessory that came with the game Wii Fit?,Wii Balance Board,110098
What is the max number of players in Wii Play?,2,110099
"In Wii Sports, who is the champion in boxing?",Matt,110100
What sport in Wii Sports requires the nunchuck to play?,Boxing,110101
Where does Wii Sports Resort take place?,Wuhu Island,110102
What is the name of the accessory that came with Wii Sports Resort?,Wii Motion Plus,110103
What is the name of the accessory that came with Wii Sports Resort?,Wii Motion Plus,110104
What are the mehanical enemies called in Xenoblade 1?,Mecchons,110105
What is the name of Shulk's sword in the Xenoblade Chronicles franchise?,The Monado,110106
What do people call Pyra/Mythra in Xenoblade 2?,Aegis,110107
Who is the main character of Xenoblade Chronicles 2?,Rex,110108
Who is the main character of Xenoblade Chronicles 1?,Shulk,110109
What was the name of the epilogue that was added to Xenoblade Chronicles Definitive Edition?,Future Connected,110110
Who attacks Shulk's homeland in Xenoblade Chronicles 1?,Metal Face,110111
Who is the main character of Xenoblade Chronicles 3?,Noah/Mio,110112
What year did Breath of the Wild Come Out?,"""2017""",110113
Who is the main playable character in the Legend of Zelda franchise?,Link,110114
Name the three parts of the Triforce,"Power, Courage, Wisdom",110115
Where does Majora's Mask take place?,Termina,110116
How many Zelda games released on the NES?,"""2""",110117
In what Zelda game can Link transform into a Wolf?,Twilight Princess,110118
Who is Sheik's true identity?,Princess Zelda,110119
"In Wind Waker, what is the name of the talking sailboat?",The King of Red Lions,110120
