Question,Answer,ID
"In Splatoon 1 and 2, what level do you have to be to unlock ranked mode?",10,120091
What is the name of the small cat in Splatoon 2?,Lil' Judd,120092
"Before they were Inklings, what species were the playable characters of Splatoon during early development?",Bunnies/Yoshis,120093
What is the most recently released Star Fox game?,Star Fox 2,120094
What was the name of the chip that allowed the first Star Fox game to display 3D graphics,Super FX,120095
What is the name of the Tower Defense Star Fox game released on the Wii U in 2016?,Star Fox Guard,120096
What was the first Star Fox game to have voice acting?,Star Fox Adventures,120097
What happens when you press either Z or R twice in Star Fox 64,You DO A BARREL ROLL,120098
What is the name of the purple luma in Super Mario Galaxy 2?,Lubba,120099
The first WarioWare game released on which Nintendo system?,Gameboy Advance,120100
The Super Mario Bros. Movie released in 2023 was animated by what studio?,Illumination,120101
"In Super Mario Galaxy after collecting all 120 Power Stars as Mario, what playable character do you unlock?",Luigi,120102
In which game did Waluigi make his first appearance?,Mario Tennis,120103
"After collecting 120 stars in Mario 64, who can Mario meet at the top of Peach's castle?",Yoshi,120104
How many levels are there in the original Super Mario Bros.,"""32""",120105
How many Stars are there in Super Mario 64,"""120""",120106
The Seven Koopalings made their debut in what Super Mario game?,Super Mario Bros. 3,120107
In what game did Yoshi first appear?,Super Mario World,120108
How many tracks are in Mario Kart Wii?,"""32""",120109
How many Mario Party games were released on the Gamecube?,"""4""",120110
Who does Mario Rescue in the original Donkey Kong arcade game?,Pauline,120111
"After getting it's final wave of DLC in 2023, how many courses are available to race on in Mario Kart 8 Deluxe?","""96""",120112
Who voices Mario in the 2023 Super Mario Bros. Movie,Chris Pratt,120113
Who is the main antagonist in Super Mario Bros. 2 (AKA Super Mario Bros. USA),Wart,120114
What year was the original Super Mario Bros. released?,1985,120115
In what Mario Kart game can you play as R.O.B,Mario Kart DS,120116
What Mario Kart games supports 16 players on one track?,Mario Kart: Double Dash!!,120117
What is the first Mario game to include Silver Stars as a collectable?,Super Mario 64 DS,120118
Paper Mario: The Thousand Year Door has an NPC that references what Nintendo RPG series?,,120119
How many eye colors are available when making a Mii on the Nintendo Wii,"""6""",120120
"In Wii Sports, how many Wii Remotes are required to play Bowling with 4 players?","""1""",120121
How many games are there in Wii Play?,"""9""",120122
This feature on the Mii Channel allows the user to send their Mii's to other Wii Consoles via Wi-Fi,Mii Parade,120123
What was the name of the enhanced version of Wii Fit released in 2009,Wii Fit Plus,120124
What was the name of the Wii Sports remake released for the Wii U?,Wii Sports Club,120125
Name a Wii Series game that REQUIRES MotionPlus to play a majority of it's games.,Wii Sports Resort/Wii Play:Motion/Wii Sports Club,120126
Name the 5 sports available in the original Wii Sports,"Tennis, Baseball, Bowling, Golf, Boxing",120127
What is the sequel to Wii Play called?,Wii Play Motion,120128
Who do you play as in the prologue in Xenoblade Chronicles?,Dunban,120129
What was the cut content from Xenoblade Chronicles 2 turned into?,Torna the Golden Country,120130
Name the two titans in Xenoblade 1.,Bionis and Mechonis,120131
What is the team attack called in Xenoblade Chronicles?,Chain Attack,120132
What is the hardest dificulty in Xenoblade Chronicles 2 that isn't the custom difficulty?,Bringer of Chaos,120133
"What is the unique skill (Monado buster, Blossom Dance, Infinity Blade etc.) that characters used are called?",Talent Art,120134
"How many years, Or terms, can a soldier naturally live before they reach homecoming in Xenoblade Chronicles 3?",10,120135
What is Shulk's race?,Homs,120136
What is Melia's race?,High Entia,120137
Who made a Cameo appearance in Xenoblade Chronicles 2 as a blade?,KOS-MOS,120138
What is the name of the level 81 unique monster found in early areas of the Gaur Plains?,Territorial Rotbart,120139
"In Breath of the Wild, what is the name of the starting area?",The Great Plateau,120140
Name a Zelda game that was released simultaneously across two home consoles at the same time.,Twilight Princess/Breath of the Wild,120141
What was the first Zelda game released on handheld?,Link's Awakening,120142
What Zelda game does Link have pink hair?,A Link to the Past,120143
What color is the N64 cartridge for Majora's Mask,Gold,120144
What island has the largest town in Wind Waker?,Windfall Island,120145
"In Wind Waker, what is the name of the song that lets you change the wind direction?",The Wind's Requiem,120146
Which rune in Tears of the Kingdom was originally used as a developer tool for navigating the map?,Ascend,120147
